ticker,valor_actual,variacion,volumen
A,$133.30,-0.58,1890140
AA,$36.15,1.77,3869405
AAC,$10.38,-0.01,23912
AACG,$1.86,-272,6114
AACI,$10.12,0.00,105
AACIW,$0.1125,75,100
AADI,$8.05,0.27,62736
AAIC,$2.59,0.02,89544
AAIC^B,$17.21,-0.29,3375
AAIC^C,$20.55,-0.45,646
AAIN,$23.18,-0.08,3065
AAL,$13.87,0.36,20608932
AAM^A,$24.37,0.87,13464
AAM^B,$24.24,01.05,11333
AAMC,$85.62,0.07,11587
AAME,$2.29,0.09,8781
AAN,$12.34,0.45,268252
AAOI,$1.665,-205,566047
AAON,$103.26,6.98,522455
AAP,$123.77,3.53,750215
AAPL,$173.57,7.78,113315224
AAT,$18.91,0.24,659069
AAU,$0.13,24,914249
AB,$33.79,0.60,339440
ABB,$35.99,0.27,1239794
ABBV,$148.03,0.67,4447710
ABC,$167.99,1.40,1012871
ABCB,$30.53,0.88,606047
ABCL,$5.99,-0.62,5067291
ABCM,$17.41,0.38,2755892
ABEO,$3.28,0.02,110211
ABEV,$2.89,-0.02,14471574
ABG,$196.93,7.52,234215
ABIO,$2.1095,295,12545
ABM,$42.68,0.77,199279
ABNB,$119.90,2.27,6618930
ABOS,$5.29,1.24,1353521
ABR,$11.75,0.84,7361659
ABR^D,$17.54,0.20,14842
ABR^E,$17.42,0.08,2824
ABR^F,$17.66,0.17,36501
ABSI,$1.39,0.08,602532
ABST,$8.57,0.16,222780
ABT,$111.26,0.40,4024979
ABUS,$2.60,0.05,444781
ABVC,$0.8097,597,38615
AC,$36.75,-0.74,4407
ACA,$67.20,0.45,213800
ACAB,$10.29,-0.03,1150
ACABU,$10.31,0.00,1
ACABW,$0.05,0.00,12
ACAC,$10.58,0.00,754
ACACU,$10.90,0.00,2
ACACW,$0.07,0.00,102
ACAD,$21.93,0.38,1147470
ACAH,$10.19,0.00,623
ACAHU,$10.13,-0.15,100
ACAHW,$0.05,0.00,7
ACAQ,$10.88,0.00,1
ACAX,$10.33,-0.01,297044
ACAXR,$0.27,199,160
ACAXU,$10.5037,0.00,3
ACAXW,$0.0449,-26,250
ACB,$0.656,46,5707296
ACBA,$11.00,-0.02,101
ACBAU,$10.54,-0.02,100
ACBAW,$0.0394,0.00,133
ACCD,$12.00,0.30,852977
ACCO,$5.11,0.69,972550
ACDC,$10.16,0.71,850222
ACDCW,$0.021,1,4766
ACEL,$9.25,-0.15,380354
ACER,$0.755,-1,225211
ACET,$6.45,0.07,171109
ACGL,$74.81,1.89,1901189
ACGLN,$19.75,0.65,64457
ACGLO,$23.425,575,20082
ACGN,$2.405,-125,291202
ACHC,$69.18,0.89,457389
ACHL,$0.8875,275,99934
ACHR,$2.12,0.09,998148
ACHV,$8.71,0.24,69142
ACI,$20.81,0.06,3198312
ACIU,$2.085,25,201316
ACIW,$24.34,0.39,466193
ACLS,$120.20,6.66,575710
ACLX,$43.58,0.32,519696
ACM,$83.70,2.33,787253
ACMR,$10.47,1.59,1187163
ACN,$265.65,-0.85,2592082
ACNB,$27.98,0.55,5319
ACNT,$9.70,0.10,7154
ACON,$0.7701,101,32843
ACONW,$0.051,-32,737
ACOR,$0.495,249,21864
ACP,$6.60,0.03,245402
ACP^A,$22.21,0.30,362
ACR,$8.13,0.09,29392
ACR^C,$19.80,0.00,3756
ACR^D,$17.30,-0.05,3430
ACRE,$8.05,0.29,918857
ACRO,$10.15,0.00,528
ACRS,$8.98,0.13,527945
ACRV,$12.53,1.22,13366
ACRX,$0.6474,275,210600
ACST,$0.4477,78,34858
ACT,$23.75,1.56,188278
ACTG,$3.89,0.06,149245
ACU,$26.24,0.14,1967
ACV,$19.38,0.42,46007
ACVA,$13.73,0.34,2064699
ACXP,$2.99,0.06,16769
ADAG,$1.34,0.05,15014
ADAP,$1.40,0.01,459221
ADBE,$348.40,12.57,4260031
ADC,$68.16,0.66,822701
ADC^A,$17.78,0.08,8133
ADCT,$1.96,0.02,254596
ADD,$1.55,-0.07,71553
ADEA,$7.24,0.08,370269
ADER,$10.73,328,362
ADERW,$0.0439,139,30517
ADES,$1.84,0.08,33545
ADEX,$10.445,0.00,11
ADI,$183.39,02.06,3672124
ADIL,$0.31,95,97279
ADILW,$0.0175,-0.01,200
ADM,$75.96,1.74,2507917
ADMA,$3.46,0.04,1917174
ADMP,$0.07,-8,954997
ADN,$0.65,334,227786
ADNT,$34.76,0.95,1161702
ADNWW,$0.0783,-2,6948
ADOC,$10.87,0.00,2
ADOCR,$0.1482,0.00,2
ADOCW,$0.0112,-59,3678
ADP,$215.48,1.67,1455126
ADPT,$6.35,-0.08,1239406
ADRT,$10.54,0.04,624
ADSE,$2.21,-0.15,117301
ADSEW,$0.146,0.00,2500
ADSK,$194.94,1.91,1281154
ADT,$5.76,0.63,8220250
ADTH,$1.46,0.02,54553
ADTHW,$0.09,-125,73101
ADTN,$8.75,0.04,980675
ADTX,$0.6689,86,8193397
ADUS,$81.96,1.21,241133
ADV,$1.23,0.04,210674
ADVM,$0.8076,233,120615
ADVWW,$0.0768,-32,5021
ADX,$15.59,0.24,96979
ADXN,$0.7272,-116,14208
AE,$37.49,0.00,7052
AEAE,$10.33,0.03,301
AEAEW,$0.0727,17,5097
AEE,$90.47,0.72,1325935
AEF,$5.11,0.06,28624
AEFC,$20.65,0.46,27623
AEG,$4.40,0.11,2104214
AEHL,$1.13,42,86721
AEHR,$27.13,1.54,935523
AEI,$1.52,0.00,51633
AEIS,$86.92,2.87,165622
AEL,$38.75,0.79,516790
AEL^A,$21.94,0.53,13525
AEL^B,$22.57,0.72,15369
AEM,$59.81,-0.59,3023895
AEMD,$0.3315,125,314578
AENZ,$2.25,-821,174
AEO,$13.27,0.72,3720531
AEP,$92.11,0.67,3328657
AEPPZ,$50.69,0.26,17799
AER,$55.47,1.41,767477
AES,$22.67,0.19,8358709
AESC,$87.65,0.86,38811
AESI,$17.00,0.13,202707
AEVA,$1.08,0.06,653396
AEY,$0.8701,-0.01,21608
AEYE,$6.28,-0.07,17410
AEZS,$3.13,0.14,13914
AFAR,$10.65,699,147
AFARU,$10.60,0.00,100
AFB,$10.66,0.10,111473
AFBI,$12.3495,2.925,15890
AFCG,$11.16,0.23,141920
AFG,$115.84,1.19,188923
AFGB,$24.30,0.39,11277
AFGC,$21.42,0.67,6756
AFGD,$22.94,295,3443
AFGE,$18.30,0.60,5019
AFIB,$0.898,495,48520
AFL,$67.59,0.77,2460813
AFMD,$0.8806,175,291337
AFRI,$11.04,-1.199,18612
AFRIW,$0.5491,521,2050
AFRM,$10.71,1.58,23216382
AFT,$12.46,388,54042
AFTR,$10.27,-701,7256
AFYA,$11.36,0.59,176367
AG,$6.84,-0.13,8066572
AGAC,$10.355,5,1801
AGAE,$0.995,15,15406
AGBA,$2.11,0.25,6471411
AGBAW,$0.0662,-64,13027
AGCO,$127.02,4.83,677857
AGD,$9.36,0.14,43029
AGE,$0.5901,1,9980
AGEN,$1.57,0.04,5657738
AGFY,$0.21,0.01,1349788
AGI,$13.81,0.06,3328026
AGIL,$1.36,0.06,13140
AGILW,$0.146,-34,2584
AGIO,$25.54,0.92,1055428
AGL,$24.51,0.22,1409614
AGLE,$0.16,0.00,524146
AGM,$129.88,2.98,36226
AGM^C,$25.48,-7.799,593
AGM^D,$23.485,485,2440
AGM^E,$22.8001,-4.999,8877
AGM^F,$21.635,1.2451,13499
AGM^G,$19.82,0.35,7871
AGMH,$2.23,-7,1950
AGNC,$9.47,0.22,8068900
AGNCL,$21.39,0.59,10630
AGNCM,$20.62,0.33,17820
AGNCN,$24.60,0.29,33495
AGNCO,$21.20,0.40,27532
AGNCP,$19.79,0.28,25088
AGO,$52.69,1.35,271319
AGR,$41.10,0.53,476686
AGRI,$0.5852,302,104691
AGRIW,$0.0457,-193,7559
AGRO,$8.52,0.33,479975
AGRX,$5.90,-65,16120
AGS,$5.32,0.30,452205
AGTI,$16.44,0.78,257553
AGX,$40.82,0.97,54561
AGYS,$77.45,0.57,62859
AHCO,$11.66,0.66,1205757
AHG,$0.3599,598,2721
AHH,$12.36,0.49,544171
AHH^A,$21.5475,-3.624,1633
AHI,$0.335,0.00,12209
AHL^C,$23.29,0.23,16935
AHL^D,$18.30,-0.02,15979
AHL^E,$18.47,0.00,10941
AHRN,$10.48,0.00,203
AHRNU,$10.52,0.00,100
AHT,$4.46,-0.03,910344
AHT^D,$20.7413,5.713,443
AHT^F,$16.85,0.26,831
AHT^G,$18.25,2.001,4450
AHT^H,$17.00,0.34,564
AHT^I,$16.95,0.19,790
AI,$18.70,0.78,7626555
AIB,$10.59,0.02,1871
AIC,$23.88,-843,2323
AIF,$12.35,0.10,46677
AIG,$53.79,3.91,7504077
AIG^A,$24.73,0.32,42627
AIH,$1.1076,-24,508
AIHS,$0.90,-15,39383
AIM,$0.4895,96,78588
AIMAU,$10.58,0.00,106
AIMD,$0.75,-0.09,29494
AIMDW,$0.2859,-659,1503
AIN,$91.97,02.02,117224
AINC,$10.97,8.244,5121
AIO,$16.59,0.11,59432
AIP,$4.69,0.70,176187
AIR,$53.13,1.39,127460
AIRC,$36.03,0.46,665754
AIRG,$5.81,0.03,6051
AIRI,$3.7309,309,5110
AIRS,$5.07,0.19,130457
AIRT,$24.80,0.00,95
AIRTP,$21.50,0.00,49
AIT,$129.67,1.88,179681
AIU,$1.05,-0.03,35670
AIV,$7.99,0.38,1558991
AIXI,$5.55,135,64159
AIZ,$130.94,0.58,403036
AIZN,$19.35,0.28,11144
AJG,$213.82,2.99,852335
AJRD,$56.31,-0.08,650028
AJX,$5.58,-0.35,269661
AJXA,$23.88,155,2074
AKA,$0.321,-47,320133
AKAM,$78.56,1.52,2046964
AKAN,$1.03,-0.11,1006910
AKBA,$1.09,1.602,2368567
AKLI,$1.47,-0.02,354756
AKO/A,$12.76,6.099,5037
AKO/B,$15.27,0.10,15575
AKR,$13.47,0.07,652969
AKRO,$45.13,0.38,440748
AKTS,$2.90,0.17,629271
AKTX,$0.1775,-2,409045
AKU,$0.60,298,24509
AKYA,$6.85,-0.24,54356
AL,$37.84,1.38,665029
AL^A,$21.91,0.42,9522
ALAR,$2.03,0.08,7298
ALB,$179.70,04.05,2363045
ALBT,$1.92,0.01,13788
ALC,$73.69,0.69,698181
ALCC,$10.29,0.03,198446
ALCO,$23.49,0.67,39266
ALCYU,$10.11,0.11,8721945
ALDX,$10.57,0.18,660842
ALE,$62.59,-1.12,311620
ALEC,$7.41,0.69,712502
ALEX,$18.92,-0.33,159543
ALG,$179.29,5.14,64782
ALGM,$37.46,0.89,828376
ALGN,$313.64,9.53,595910
ALGS,$1.24,-0.12,115466
ALGT,$106.85,4.18,222179
ALHC,$6.89,-0.11,1346864
ALIM,$1.90,-382,40996
ALIT,$8.82,-0.03,4906436
ALK,$43.16,01.07,1366212
ALKS,$29.45,0.74,1075694
ALKT,$12.18,0.65,224317
ALL,$115.73,1.71,2244547
ALL^B,$25.14,0.09,27059
ALL^H,$23.355,645,55778
ALL^I,$22.68,0.05,23530
ALLE,$108.09,01.06,813840
ALLG,$2.05,0.08,35719
ALLK,$4.26,-0.04,615096
ALLO,$6.60,0.15,2082974
