ticker,valor_actual,variacion,volumen,tipo
A,133.30,-0.58,1890140,2
AA,36.15,1.77,3869405,1
AAC,10.38,-0.01,23912,1
AACG,1.86,-272,6114,1
AACI,10.12,0,105,1
AACIW,0.11,75,100,1
AADI,8.05,0.27,62736,1
AAIC,2.59,0.02,89544,1
AAIC^B,17.21,-0.29,3375,1
AAIC^C,20.55,-0.45,646,1
AAIN,23.18,-0.08,3065,1
AAL,13.87,0.36,20608932,1
AAM^A,24.37,0.87,13464,1
AAM^B,24.24,1.05,11333,1
AAMC,85.62,0.07,11587,1
AAME,2.29,0.09,8781,1
AAN,12.34,0.45,268252,1
AAOI,1.67,-205,566047,1
AAON,103.26,6.98,522455,2
AAP,123.77,3.53,750215,2
AAPL,173.57,7.78,113315224,2
AAT,18.91,0.24,659069,1
AAU,0.13,24,914249,1
AB,33.79,0.6,339440,1
ABB,35.99,0.27,1239794,1
ABBV,148.03,0.67,4447710,2
ABC,167.99,1.4,1012871,2
ABCB,30.53,0.88,606047,1
ABCL,5.99,-0.62,5067291,1
ABCM,17.41,0.38,2755892,1
ABEO,3.28,0.02,110211,1
ABEV,2.89,-0.02,14471574,1
ABG,196.93,7.52,234215,2
ABIO,2.11,295,12545,1
ABM,42.68,0.77,199279,1
ABNB,119.90,2.27,6618930,2
ABOS,5.29,1.24,1353521,1
ABR,11.75,0.84,7361659,1
ABR^D,17.54,0.2,14842,1
ABR^E,17.42,0.08,2824,1
ABR^F,17.66,0.17,36501,1
ABSI,1.39,0.08,602532,1
ABST,8.57,0.16,222780,1
ABT,111.26,0.4,4024979,2
ABUS,2.60,0.05,444781,1
ABVC,0.81,597,38615,1
AC,36.75,-0.74,4407,1
ACA,67.20,0.45,213800,1
ACAB,10.29,-0.03,1150,1
ACABU,10.31,0,1,1
ACABW,0.05,0,12,1
ACAC,10.58,0,754,1
ACACU,10.90,0,2,1
ACACW,0.07,0,102,1
ACAD,21.93,0.38,1147470,1
ACAH,10.19,0,623,1
ACAHU,10.13,-0.15,100,1
ACAHW,0.05,0,7,1
ACAQ,10.88,0,1,1
ACAX,10.33,-0.01,297044,1
ACAXR,0.27,199,160,1
ACAXU,10.50,0,3,1
ACAXW,0.04,-26,250,1
ACB,0.66,46,5707296,1
ACBA,11.00,-0.02,101,1
ACBAU,10.54,-0.02,100,1
ACBAW,0.04,0,133,1
ACCD,12.00,0.3,852977,1
ACCO,5.11,0.69,972550,1
ACDC,10.16,0.71,850222,1
ACDCW,0.02,1,4766,1
ACEL,9.25,-0.15,380354,1
ACER,0.76,-1,225211,1
ACET,6.45,0.07,171109,1
ACGL,74.81,1.89,1901189,1
ACGLN,19.75,0.65,64457,1
ACGLO,23.43,575,20082,1
ACGN,2.41,-125,291202,1
ACHC,69.18,0.89,457389,1
ACHL,0.89,275,99934,1
ACHR,2.12,0.09,998148,1
ACHV,8.71,0.24,69142,1
ACI,20.81,0.06,3198312,1
ACIU,2.09,25,201316,1
ACIW,24.34,0.39,466193,1
ACLS,120.20,6.66,575710,2
ACLX,43.58,0.32,519696,1
ACM,83.70,2.33,787253,1
ACMR,10.47,1.59,1187163,1
ACN,265.65,-0.85,2592082,2
ACNB,27.98,0.55,5319,1
ACNT,9.70,0.1,7154,1
ACON,0.77,101,32843,1
ACONW,0.05,-32,737,1
ACOR,0.50,249,21864,1
ACP,6.60,0.03,245402,1
ACP^A,22.21,0.3,362,1
ACR,8.13,0.09,29392,1
ACR^C,19.80,0,3756,1
ACR^D,17.30,-0.05,3430,1
ACRE,8.05,0.29,918857,1
ACRO,10.15,0,528,1
ACRS,8.98,0.13,527945,1
ACRV,12.53,1.22,13366,1
ACRX,0.65,275,210600,1
ACST,0.45,78,34858,1
ACT,23.75,1.56,188278,1
ACTG,3.89,0.06,149245,1
ACU,26.24,0.14,1967,1
ACV,19.38,0.42,46007,1
ACVA,13.73,0.34,2064699,1
ACXP,2.99,0.06,16769,1
ADAG,1.34,0.05,15014,1
ADAP,1.40,0.01,459221,1
ADBE,348.40,12.57,4260031,2
ADC,68.16,0.66,822701,1
ADC^A,17.78,0.08,8133,1
ADCT,1.96,0.02,254596,1
ADD,1.55,-0.07,71553,1
ADEA,7.24,0.08,370269,1
ADER,10.73,328,362,1
ADERW,0.04,139,30517,1
ADES,1.84,0.08,33545,1
ADEX,10.45,0,11,1
ADI,183.39,2.06,3672124,2
ADIL,0.31,95,97279,1
ADILW,0.02,-0.01,200,1
ADM,75.96,1.74,2507917,1
ADMA,3.46,0.04,1917174,1
ADMP,0.07,-8,954997,1
ADN,0.65,334,227786,1
ADNT,34.76,0.95,1161702,1
ADNWW,0.08,-2,6948,1
ADOC,10.87,0,2,1
ADOCR,0.15,0,2,1
ADOCW,0.01,-59,3678,1
ADP,215.48,1.67,1455126,2
