id,industria,sector
1,Electrical Products,Industrials
2,Aluminum,Industrials
3,Metal Fabrications,Industrials
4,Service to the Health Industry,Consumer Discretionary
5,Consumer Electronics/Appliances,Industrials
6,Consumer Electronics/Appliances,Industrials
7,Biotechnology: Pharmaceutical Preparations,Health Care
8,Real Estate Investment Trusts,Real Estate
9,,
10,,
11,Finance/Investors Services,Finance
12,Air Freight/Delivery Services,Consumer Discretionary
13,,
14,,
15,Real Estate,Finance
16,Life Insurance,Finance
17,Diversified Commercial Services,Consumer Discretionary
18,Radio And Television Broadcasting And Communications Equipment,Technology
19,Industrial Machinery/Components,Industrials
20,Auto & Home Supply Stores,Consumer Discretionary
21,Computer Manufacturing,Technology
22,Real Estate Investment Trusts,Real Estate
23,,
24,Investment Managers,Finance
25,Electrical Products,Energy
26,Biotechnology: Pharmaceutical Preparations,Health Care
27,Other Pharmaceuticals,Health Care
28,Major Banks,Finance
29,Pharmaceuticals and Biotechnology,Health Care
30,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
31,Biotechnology: Pharmaceutical Preparations,Health Care
32,Beverages (Production/Distribution),Consumer Staples
33,Retail-Auto Dealers and Gas Stations,Consumer Discretionary
34,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
35,Diversified Commercial Services,Finance
36,Hotels/Resorts,Consumer Discretionary
37,Biotechnology: Pharmaceutical Preparations,Health Care
38,Real Estate Investment Trusts,Real Estate
39,,
40,,
41,,
42,Biotechnology: Pharmaceutical Preparations,Health Care
43,Computer Software: Prepackaged Software,Technology
44,Medical/Dental Instruments,Health Care
45,Pharmaceuticals and Biotechnology,Health Care
46,Biotechnology: Pharmaceutical Preparations,Health Care
47,,
48,Oilfield Services/Equipment,Industrials
49,Consumer Electronics/Appliances,Industrials
50,Consumer Electronics/Appliances,Industrials
51,Consumer Electronics/Appliances,Industrials
52,Consumer Electronics/Appliances,Industrials
53,Consumer Electronics/Appliances,Industrials
54,Consumer Electronics/Appliances,Industrials
55,Biotechnology: Pharmaceutical Preparations,Health Care
56,Consumer Electronics/Appliances,Industrials
57,Consumer Electronics/Appliances,Industrials
58,Consumer Electronics/Appliances,Industrials
